province_exam,language_file,centers,registered,present,absent,avg_score,passed,absent_rate,avg_center_load,pass_rate_by_present
新疆维吾尔自治区,Scratch,2,118,110,8,48.70338983050848,43,0.06779661016949153,59.0,0.39090909090909093
江苏省,C++,62,17156,16572,584,61.2734076900499,9436,0.03404056889717883,276.7096774193548,0.5693941588221095
江苏省,Python,49,1448,1397,51,51.109027777777776,555,0.03522099447513812,29.551020408163264,0.39727988546886184
江苏省,Scratch,52,2234,2155,79,59.179037336932076,1218,0.03536257833482542,42.96153846153846,0.5651972157772622
江西省,C++,13,746,720,26,64.0469387755102,432,0.03485254691689008,57.38461538461539,0.6
江西省,Python,4,98,97,1,47.14795918367347,35,0.01020408163265306,24.5,0.36082474226804123
江西省,Scratch,4,293,292,1,66.1467576791809,195,0.0034129692832764505,73.25,0.6678082191780822
河北省,C++,44,2356,2313,43,59.042893725992315,1169,0.01825127334465195,53.54545454545455,0.5054042369217466
河北省,Python,22,216,215,1,49.85648148148148,79,0.004629629629629629,9.818181818181818,0.3674418604651163
河北省,Scratch,29,514,509,5,63.85575048732944,324,0.009727626459143969,17.724137931034484,0.6365422396856582
河南省,C++,17,1935,1883,52,61.45158771473191,1057,0.026873385012919897,113.82352941176471,0.5613382899628253
河南省,Python,10,157,154,3,51.461290322580645,51,0.01910828025477707,15.7,0.33116883116883117
河南省,Scratch,14,731,717,14,61.9697386519945,435,0.019151846785225718,52.214285714285715,0.606694560669456
浙江省,C++,36,17741,17210,531,63.76367763904654,10427,0.02993066907164196,492.80555555555554,0.6058686809994189
浙江省,Python,28,810,781,29,52.32835820895522,324,0.03580246913580247,28.928571428571427,0.4148527528809219
浙江省,Scratch,30,2446,2397,49,61.359310910582444,1391,0.020032706459525755,81.53333333333333,0.5803087192323738
海南省,C++,4,1110,1062,48,63.6866295264624,647,0.043243243243243246,277.5,0.6092278719397364
海南省,Python,3,62,61,1,40.66935483870968,12,0.016129032258064516,20.666666666666668,0.19672131147540983
海南省,Scratch,3,101,97,4,50.92079207920792,40,0.039603960396039604,33.666666666666664,0.41237113402061853
渝北区,Scratch,1,1,1,0,18.0,0,0.0,1.0,0.0
温岭市,C++,1,1,1,0,61.5,1,0.0,1.0,1.0
湖北省,C++,8,2873,2832,41,62.2906610703043,1664,0.01427079707622694,359.125,0.5875706214689266
湖北省,Python,5,425,417,8,51.78080568720379,172,0.018823529411764704,85.0,0.41247002398081534
湖北省,Scratch,7,1489,1451,38,62.28146143437077,894,0.02552048354600403,212.71428571428572,0.6161268090971743
湖南省,C++,8,1460,1416,44,61.56146408839779,816,0.030136986301369864,182.5,0.576271186440678
湖南省,Python,6,136,131,5,42.6139705882353,34,0.03676470588235294,22.666666666666668,0.2595419847328244
湖南省,Scratch,7,409,402,7,60.291666666666664,221,0.017114914425427872,58.42857142857143,0.5497512437810945
澳门特别行政区,C++,5,72,69,3,67.04861111111111,46,0.041666666666666664,14.4,0.6666666666666666
澳门特别行政区,Python,2,15,15,0,76.03333333333333,11,0.0,7.5,0.7333333333333333
甘肃省,C++,8,314,293,21,61.89739413680782,172,0.06687898089171974,39.25,0.5870307167235495
甘肃省,Python,4,44,44,0,72.9090909090909,32,0.0,11.0,0.7272727272727273
甘肃省,Scratch,4,39,36,3,48.97435897435897,17,0.07692307692307693,9.75,0.4722222222222222
福建省,C++,22,4335,4124,211,60.79788235294118,2310,0.04867358708189158,197.04545454545453,0.5601357904946653
福建省,Python,18,137,131,6,50.611111111111114,51,0.043795620437956206,7.611111111111111,0.3893129770992366
福建省,Scratch,22,413,400,13,60.19268292682927,225,0.031476997578692496,18.772727272727273,0.5625
贵州省,C++,12,1085,1030,55,58.476212686567166,541,0.05069124423963134,90.41666666666667,0.525242718446602
贵州省,Python,7,52,49,3,34.97115384615385,8,0.057692307692307696,7.428571428571429,0.16326530612244897
贵州省,Scratch,6,33,32,1,47.09090909090909,12,0.030303030303030304,5.5,0.375
辽宁省,C++,7,2339,2276,63,60.96637931034483,1247,0.026934587430525864,334.14285714285717,0.5478910369068541
